,business_id,name,address,city,shop_star,user1_cnt,user2_cnt,user3_cnt,user4_cnt,user5_cnt,is_good_for_kids,is_good_for_groups,delivery,service,food,suggestions,reasons
0,JuY2sTtico4dlDsscqevtw,Pizza Hut,201 W State Rd 434,Longwood,3.0,2,0,1,1,1,1,1,0.30189999999999995,0.5,0.5825,"Increasing the number of children's seats in the store; like other fast food chains, such as McDonald's, set up a children's play area; enriching the types of children's packages; Setting up family toilets.Try to improve the taste of wings.Try to improve the taste of cheese.Try to improve the taste of pepperoni.","The average ratings for GoodForKids is 2.14 and for NotGoodForKids is 1.89 p-value = 0.006; This restaurant does not have GoodForKids atttribute;The sentiment score towards wings in this Pizza Hut is -0.143, which is below the average score of all Pizza Hut: 0.08;The sentiment score towards cheese in this Pizza Hut is 0.000, which is below the average score of all Pizza Hut: 0.046;The sentiment score towards pepperoni in this Pizza Hut is 0.000, which is below the average score of all Pizza Hut: 0.08;"
1,Gjhp2wjWeMrCbRsirVIYJw,Pizza Hut,1001 N Semoran Blvd,Orlando,2.5,3,0,1,1,1,1,0,0.5,0.617075,0.5,"Increasing the number of children's seats in the store; like other fast food chains, such as McDonald's, set up a children's play area; enriching the types of children's packages; Setting up family toilets.Try to improve the taste of wings.Try to improve the taste of pepperoni.","The average ratings for GoodForKids is 2.14 and for NotGoodForKids is 1.89 p-value = 0.006; This restaurant does not have GoodForKids atttribute;The sentiment score towards wings in this Pizza Hut is 0.000, which is below the average score of all Pizza Hut: 0.08;The sentiment score towards pepperoni in this Pizza Hut is 0.000, which is below the average score of all Pizza Hut: 0.08;"
2,Sb9FAzrW_NGA3BiViZDLIw,Pizza Hut,710 West Ave,Cocoa,2.5,2,0,2,2,0,1,1,0.5418000000000001,0.5,0.5,"Increasing the number of children's seats in the store; like other fast food chains, such as McDonald's, set up a children's play area; enriching the types of children's packages; Setting up family toilets.Using an incubator to prevent food getting cold.Try to improve the taste of cheese.Try to improve the taste of bread.Try to improve the taste of pepperoni.","The average ratings for GoodForKids is 2.14 and for NotGoodForKids is 1.89 p-value = 0.006; This restaurant does not have GoodForKids atttribute;The sentiment score towards cheese in this Pizza Hut is 0.000, which is below the average score of all Pizza Hut: 0.046;The sentiment score towards bread in this Pizza Hut is 0.000, which is below the average score of all Pizza Hut: 0.083;The sentiment score towards pepperoni in this Pizza Hut is 0.000, which is below the average score of all Pizza Hut: 0.08;"
3,kyKSPGalAGSUdEv38Cx9Uw,Pizza Hut,3425 Main Street,Vancouver,1.5,20,9,2,2,1,1,1,0.5110233333333334,0.4077272727272727,0.49498888888888887,"Increasing the number of children's seats in the store; like other fast food chains, such as McDonald's, set up a children's play area; enriching the types of children's packages; Setting up family toilets.Using an incubator to prevent food getting cold.Cooperating with better food delivery platforms; establishing your own delivery team in big cities with a lot of orders.Try to improve the taste of bread.Try to improve the taste of pepperoni.","The average ratings for GoodForKids is 2.14 and for NotGoodForKids is 1.89 p-value = 0.006; This restaurant does not have GoodForKids atttribute;The sentiment score towards delivery in this Pizza Hut is -0.056, which is below the average score of all Pizza Hut: -0.016;The sentiment score towards bread in this Pizza Hut is -0.008, which is below the average score of all Pizza Hut: 0.083;The sentiment score towards pepperoni in this Pizza Hut is -0.031, which is below the average score of all Pizza Hut: 0.08;"
4,koPEEsp5fVr5_l_vYYlNeA,Pizza Hut,2021B E Riverside Dr,Austin,2.5,33,3,4,9,15,0,1,0.400325,0.598216,0.5663111111111111,"Increasing the number of children's seats in the store; like other fast food chains, such as McDonald's, set up a children's play area; enriching the types of children's packages; Setting up family toilets.Using an incubator to prevent food getting cold.Cooperating with better food delivery platforms; establishing your own delivery team in big cities with a lot of orders.Try to improve the taste of cheese.","The average ratings for GoodForKids is 2.14 and for NotGoodForKids is 1.89 p-value = 0.006; This restaurant does not have GoodForKids atttribute;The sentiment score towards delivery in this Pizza Hut is -0.078, which is below the average score of all Pizza Hut: -0.016;The sentiment score towards cheese in this Pizza Hut is 0.016, which is below the average score of all Pizza Hut: 0.046;"
5,BxyO3qy3KtHAYQXKBRfiiw,Pizza Hut,"4650 Farm To Market 1626, Ste 100",Kyle,2.5,8,2,0,1,4,1,1,0.7030928571428571,0.4447,0.46836666666666665,"Increasing the number of children's seats in the store; like other fast food chains, such as McDonald's, set up a children's play area; enriching the types of children's packages; Setting up family toilets.Try to improve the taste of cheese.Try to improve the taste of bread.Try to improve the taste of pepperoni.","The average ratings for GoodForKids is 2.14 and for NotGoodForKids is 1.89 p-value = 0.006; This restaurant does not have GoodForKids atttribute;The sentiment score towards cheese in this Pizza Hut is -0.150, which is below the average score of all Pizza Hut: 0.046;The sentiment score towards bread in this Pizza Hut is -0.015, which is below the average score of all Pizza Hut: 0.083;The sentiment score towards pepperoni in this Pizza Hut is -0.931, which is below the average score of all Pizza Hut: 0.08;"
6,XvUcgYgXxC_Owt1RMfS0vQ,Pizza Hut,4504 Cemetery Rd,Hilliard,2.0,10,3,0,2,1,0,0,0.3853,0.3228,0.71045,"Increasing the number of children's seats in the store; like other fast food chains, such as McDonald's, set up a children's play area; enriching the types of children's packages; Setting up family toilets.Using an incubator to prevent food getting cold.Cooperating with better food delivery platforms; establishing your own delivery team in big cities with a lot of orders.Try to improve the taste of wings.Try to improve the taste of cheese.Try to improve the taste of bread.","The average ratings for GoodForKids is 2.14 and for NotGoodForKids is 1.89 p-value = 0.006; This restaurant does not have GoodForKids atttribute;The sentiment score towards delivery in this Pizza Hut is -0.229, which is below the average score of all Pizza Hut: -0.016;The sentiment score towards wings in this Pizza Hut is 0.000, which is below the average score of all Pizza Hut: 0.08;The sentiment score towards cheese in this Pizza Hut is -0.051, which is below the average score of all Pizza Hut: 0.046;The sentiment score towards bread in this Pizza Hut is 0.001, which is below the average score of all Pizza Hut: 0.083;"
7,xaausM30H_fHgsOzcbbMDg,Pizza Hut,10723 SE 82nd Ave,Happy Valley,2.0,14,3,1,1,3,1,1,0.4543277777777778,0.7289875,0.4448125,"Increasing the number of children's seats in the store; like other fast food chains, such as McDonald's, set up a children's play area; enriching the types of children's packages; Setting up family toilets.Using an incubator to prevent food getting cold.Cooperating with better food delivery platforms; establishing your own delivery team in big cities with a lot of orders.Try to improve the taste of cheese.Try to improve the taste of bread.Try to improve the taste of pepperoni.","The average ratings for GoodForKids is 2.14 and for NotGoodForKids is 1.89 p-value = 0.006; This restaurant does not have GoodForKids atttribute;The sentiment score towards delivery in this Pizza Hut is -0.042, which is below the average score of all Pizza Hut: -0.016;The sentiment score towards cheese in this Pizza Hut is 0.000, which is below the average score of all Pizza Hut: 0.046;The sentiment score towards bread in this Pizza Hut is 0.000, which is below the average score of all Pizza Hut: 0.083;The sentiment score towards pepperoni in this Pizza Hut is 0.000, which is below the average score of all Pizza Hut: 0.08;"
8,3drtgNSvxzPwFS9UPq077g,Pizza Hut,"767 S State Road 434, Ste 1000",Altamonte Springs,1.5,16,3,0,0,1,1,1,0.4245833333333333,0.3410944444444445,0.5026318181818182,"Increasing the number of children's seats in the store; like other fast food chains, such as McDonald's, set up a children's play area; enriching the types of children's packages; Setting up family toilets.Using an incubator to prevent food getting cold.Strengthen the training of restaurant managers and employees; organize branch selection activities with the best service attitude and provide rewards to motivate employees to be more friendly.Cooperating with better food delivery platforms; establishing your own delivery team in big cities with a lot of orders.Try to improve the taste of wings.Try to improve the taste of cheese.","The average ratings for GoodForKids is 2.14 and for NotGoodForKids is 1.89 p-value = 0.006; This restaurant does not have GoodForKids atttribute;The sentiment score towards managers in this Pizza Hut is -0.316, which is below the average score of all Pizza Hut: -0.081;The sentiment score towards delivery in this Pizza Hut is -0.074, which is below the average score of all Pizza Hut: -0.016;The sentiment score towards wings in this Pizza Hut is -0.358, which is below the average score of all Pizza Hut: 0.08;The sentiment score towards cheese in this Pizza Hut is -0.044, which is below the average score of all Pizza Hut: 0.046;"
9,U1NvHvJEJvk74N0_Qd7jFg,Pizza Hut,1747 SE 122nd Ave,Portland,1.0,18,0,0,1,0,1,0,0.5335,0.41906875,0.51203,"Increasing the number of children's seats in the store; like other fast food chains, such as McDonald's, set up a children's play area; enriching the types of children's packages; Setting up family toilets.Using an incubator to prevent food getting cold.Strengthen the training of restaurant managers and employees; organize branch selection activities with the best service attitude and provide rewards to motivate employees to be more friendly.Try to improve the taste of cheese.Try to improve the taste of bread.Try to improve the taste of pepperoni.","The average ratings for GoodForKids is 2.14 and for NotGoodForKids is 1.89 p-value = 0.006; This restaurant does not have GoodForKids atttribute;The sentiment score towards managers in this Pizza Hut is -0.243, which is below the average score of all Pizza Hut: -0.081;The sentiment score towards cheese in this Pizza Hut is 0.000, which is below the average score of all Pizza Hut: 0.046;The sentiment score towards bread in this Pizza Hut is 0.000, which is below the average score of all Pizza Hut: 0.083;The sentiment score towards pepperoni in this Pizza Hut is -0.332, which is below the average score of all Pizza Hut: 0.08;"
